project_code	organ_system
BLCA-US	URINARY BLADDER
BOCA-UK	BONES & JOINTS
BRCA-EU	BREAST
BRCA-UK	BREAST
BRCA-US	BREAST
BTCA-SG	GALLBLADDER & EXTRAHEPATIC BILE DUCTS
CESC-US	CERVIX UTERI
CLLE-ES	BLOOD, BONE MARROW, & HEMATOPOIETIC SYS
CMDI-UK	BLOOD, BONE MARROW, & HEMATOPOIETIC SYS
COAD-US	LARGE INTESTINE, (EXCL. APPENDIX)
DLBC-US	LYMPH NODES
EOPC-DE	PROSTATE GLAND
ESAD-UK	ESOPHAGUS
GBM-US	BRAIN, & CRANIAL NERVES, & SPINAL CORD, (EXCL. VENTRICLE, CEREBELLUM)
HNSC-US	GUM, FLOOR OF MOUTH, & OTHER MOUTH
KICH-US	KIDNEY
KIRC-US	KIDNEY
KIRP-US	KIDNEY
LAML-KR	BLOOD, BONE MARROW, & HEMATOPOIETIC SYS
LAML-US	BLOOD, BONE MARROW, & HEMATOPOIETIC SYS
LGG-US	BRAIN, & CRANIAL NERVES, & SPINAL CORD, (EXCL. VENTRICLE, CEREBELLUM)
LICA-FR	LIVER
LIHC-US	LIVER
LINC-JP	LIVER
LIRI-JP	LIVER
LUAD-US	LUNG & BRONCHUS
LUSC-US	LUNG & BRONCHUS
MALY-DE	LYMPH NODES
MELA-AU	SKIN
MISSING FROM DCC
ORCA-IN	GUM, FLOOR OF MOUTH, & OTHER MOUTH
OV-AU	OVARY
OV-US	OVARY
PACA-AU	PANCREAS
PACA-CA	PANCREAS
PAEN-AU	PANCREAS
PBCA-DE	BRAIN, & CRANIAL NERVES, & SPINAL CORD, (EXCL. VENTRICLE, CEREBELLUM)
PRAD-CA	PROSTATE GLAND
PRAD-UK	PROSTATE GLAND
PRAD-US	PROSTATE GLAND
READ-US	RECTUM
RECA-EU	KIDNEY
SARC-US	BONES & JOINTS
SKCM-US	SKIN
STAD-US	STOMACH
THCA-US	THYROID GLAND
UCEC-US	UTERUS, NOS
